"mbti","function_pair","type1","type2","type3","type4","majorcount","minorcount","danceability_mean","energy_mean","loudness_mean","mode_mean","speechiness_mean","acousticness_mean","liveness_mean","valence_mean","tempo_mean","instrumentalness_mean","pminor"
"INFP","NF","I","N","F","P",29,15,0.557840909090909,0.553325,-8.35259090909091,0.659090909090909,0.067340909090909,0.293469090909091,0.163402272727273,0.448884090909091,120.954795454545,0.0199709929545454,0.340909090909091
"INFP","NF","I","N","F","P",21,12,0.587636363636364,0.556272727272727,-8.21569696969697,0.636363636363636,0.0742727272727272,0.341433939393939,0.154542424242424,0.44760303030303,131.871242424242,0.0610408642424242,0.363636363636364
"INFP","NF","I","N","F","P",29,21,0.677,0.85128,-5.0461,0.58,0.272546,0.05808475,0.26452,0.26503,128.20602,0.2503575614,0.42
"INFP","NF","I","N","F","P",33,9,0.517,0.513411904761905,-10.1728333333333,0.785714285714286,0.0515095238095238,0.442163036428572,0.152645238095238,0.337845238095238,120.593571428571,0.210927152619048,0.214285714285714
"INFP","NF","I","N","F","P",41,9,0.5604,0.445862,-10.57224,0.82,0.065178,0.4796774,0.169092,0.351366,114.69308,0.069537275,0.18
"INFP","NF","I","N","F","P",17,14,0.613935483870968,0.728387096774194,-6.98658064516129,0.548387096774194,0.289770967741936,0.188354838709677,0.220409677419355,0.508290322580645,96.372935483871,0.0288639158064516,0.451612903225806
"INFP","NF","I","N","F","P",32,18,0.5208,0.618752,-7.24238,0.64,0.065084,0.263626766,0.15108,0.402024,131.27542,0.0453293966,0.36
"INFP","NF","I","N","F","P",13,37,0.6654,0.41108,-10.79756,0.26,0.088266,0.237461314,0.189096,0.43454,99.42746,0.662444266,0.74
"INFP","NF","I","N","F","P",49,1,0.5564,0.49264,-9.1336,0.98,0.049366,0.57667846,0.143194,0.360748,118.52132,0.0038886866,0.02
"INFP","NF","I","N","F","P",38,12,0.495018,0.5745196,-9.6315,0.76,0.044406,0.31672576,0.169324,0.39092,118.31884,0.3207216536,0.24
"INFP","NF","I","N","F","P",25,25,0.62752,0.89672,-3.39622,0.5,0.187964,0.014073806,0.218584,0.33932,134.09514,0.1243236626,0.5
"INFP","NF","I","N","F","P",32,18,0.53956,0.604652,-7.66672,0.64,0.053668,0.29447955,0.138808,0.430516,122.317,0.0668512178,0.36
"INFP","NF","I","N","F","P",24,26,0.63826,0.73156,-7.10216,0.48,0.3071,0.1229784,0.247842,0.58396,108.17912,3.07844e-05,0.52
"INFP","NF","I","N","F","P",26,19,0.523933333333333,0.725244444444444,-6.0246,0.577777777777778,0.0831066666666666,0.133619571111111,0.172044444444444,0.44426,128.995844444444,0.0312605006666666,0.422222222222222
"INFP","NF","I","N","F","P",35,11,0.5715,0.588847826086956,-6.7735652173913,0.760869565217391,0.0560934782608695,0.340682195652174,0.176139130434783,0.459995652173913,131.571891304348,0.0806609652173912,0.239130434782609
"INFP","NF","I","N","F","P",30,20,0.6465,0.73336,-4.57836,0.6,0.07298,0.19027228,0.170216,0.52184,117.79082,0.0002757743999999,0.4
"INFP","NF","I","N","F","P",17,2,0.546947368421053,0.357263157894737,-10.9531052631579,0.894736842105263,0.0716684210526315,0.652652631578947,0.159794736842105,0.331742105263158,110.305421052632,0.01350632,0.105263157894737
"INFP","NF","I","N","F","P",38,12,0.57512,0.58714,-7.15298,0.76,0.0544199999999999,0.347586872,0.138552,0.402292,112.79906,0.0501229568,0.24
"INFP","NF","I","N","F","P",43,7,0.55834,0.42264,-8.1648,0.86,0.050484,0.664306,0.157142,0.328194,105.87642,0.0777927485999999,0.14
"INFP","NF","I","N","F","P",40,10,0.54688,0.560424,-8.13182,0.8,0.0660259999999999,0.345506,0.204924,0.46414,125.74298,0.0780637778,0.2
"INFP","NF","I","N","F","P",34,11,0.546088888888889,0.532533333333333,-8.82506666666666,0.755555555555556,0.0428355555555555,0.334754611777778,0.170382222222222,0.400148888888889,120.510244444444,0.244919174222222,0.244444444444444
"INFP","NF","I","N","F","P",27,1,0.59225,0.330353571428571,-13.1426785714286,0.964285714285714,0.0731428571428571,0.654283321428571,0.142946428571429,0.383532142857143,121.50675,0.0613313,0.0357142857142857
"INFP","NF","I","N","F","P",24,26,0.539472,0.64518,-6.43162,0.48,0.0548319999999999,0.2357297106,0.186392,0.372288,119.29912,0.108509481,0.52
"INFP","NF","I","N","F","P",46,4,0.6315,0.5163,-6.15824,0.92,0.118966,0.540214,0.182176,0.48112,113.67648,0.026488011,0.08
"INFP","NF","I","N","F","P",42,8,0.5522,0.516062,-7.98086,0.84,0.057694,0.358674,0.151544,0.346746,131.54356,0.0143512188,0.16
"INFP","NF","I","N","F","P",31,19,0.55804,0.522538,-8.85176,0.62,0.058712,0.377329838,0.172154,0.393152,122.37044,0.1101255918,0.38
"INFP","NF","I","N","F","P",33,17,0.54776,0.58494,-7.1704,0.66,0.06798,0.32040828,0.15229,0.381176,125.40068,0.0498470618,0.34
"INFP","NF","I","N","F","P",35,15,0.45662,0.68324,-7.82444,0.7,0.062628,0.1687894302,0.184952,0.36797,127.72426,0.1467433834,0.3
"INFP","NF","I","N","F","P",30,20,0.60182,0.611582,-7.97152,0.6,0.094124,0.308972,0.194658,0.441928,119.30158,0.198788296,0.4
"INFP","NF","I","N","F","P",36,14,0.59426,0.5603708,-9.22238,0.72,0.058218,0.33048234,0.171296,0.464196,112.36852,0.1119063882,0.28
"INFP","NF","I","N","F","P",10,16,0.730923076923077,0.787807692307692,-3.75765384615385,0.384615384615385,0.107092307692308,0.081745923076923,0.165853846153846,0.600346153846154,119.226461538462,0.0027541192307692,0.615384615384615
"INFP","NF","I","N","F","P",36,14,0.56528,0.58352,-8.04932,0.72,0.059074,0.39158472,0.128408,0.397052,123.58244,0.0577060464,0.28
"INFP","NF","I","N","F","P",36,14,0.59458,0.524204,-6.91404,0.72,0.072378,0.520916,0.174088,0.398494,111.83422,0.0553596893999999,0.28
"INFP","NF","I","N","F","P",29,21,0.65074,0.677894,-6.94778,0.58,0.100704,0.170597184,0.189152,0.518622,125.6163,0.1572746856,0.42
"INFP","NF","I","N","F","P",30,20,0.5475,0.55598,-8.00496,0.6,0.049332,0.3682551,0.144084,0.396254,127.00912,0.1123035706,0.4
"INFP","NF","I","N","F","P",42,8,0.6092,0.5359,-6.82916,0.84,0.063316,0.46216558,0.149082,0.42768,115.86802,0.0005414812,0.16
"INFP","NF","I","N","F","P",26,24,0.53026,0.69014,-6.73336,0.52,0.055892,0.185469508,0.197954,0.46668,123.22546,0.1950368406,0.48
"INFP","NF","I","N","F","P",33,17,0.66038,0.3519024,-12.3468,0.66,0.10512,0.591266,0.13581,0.32599,110.5888,0.7607702336,0.34
"INFP","NF","I","N","F","P",24,26,0.677,0.60538,-6.87846,0.48,0.0961279999999999,0.254596,0.215218,0.424364,124.91396,0.0074107208,0.52
"INFP","NF","I","N","F","P",35,15,0.75434,0.78444,-5.12874,0.7,0.196744,0.0778560599999999,0.216926,0.53054,129.51612,0.1155394228,0.3
"INFP","NF","I","N","F","P",29,17,0.566239130434783,0.611678260869565,-7.03095652173913,0.630434782608696,0.0670478260869565,0.29684697826087,0.195441304347826,0.497,130.276217391304,0.145777213695652,0.369565217391304
"INFP","NF","I","N","F","P",30,20,0.50726,0.47814,-8.9067,0.6,0.058716,0.519086,0.146392,0.309222,108.71444,0.0363323948,0.4
"INFP","NF","I","N","F","P",40,10,0.64314,0.73478,-4.2093,0.8,0.0647539999999999,0.1818792,0.187244,0.520194,124.39552,6.0538e-05,0.2
"INFP","NF","I","N","F","P",34,16,0.53356,0.501666,-8.92562,0.68,0.074012,0.446017872,0.189726,0.387638,126.0439,0.2330313364,0.32
"INFP","NF","I","N","F","P",32,18,0.55644,0.563084,-8.30216,0.64,0.062384,0.36425526,0.1625,0.420632,131.71442,0.0963169114,0.36
"INFP","NF","I","N","F","P",30,20,0.58182,0.605802,-5.91748,0.6,0.0523639999999999,0.359158,0.157774,0.4422,119.511,0.0101824868,0.4
"INFP","NF","I","N","F","P",38,12,0.62384,0.63618,-7.61348,0.76,0.055342,0.3003034,0.185888,0.565104,122.15684,0.1277242856,0.24
"INFP","NF","I","N","F","P",31,19,0.51022,0.68454,-7.22338,0.62,0.04931,0.147061026,0.18341,0.494128,124.70838,0.141122749,0.38
"INFP","NF","I","N","F","P",21,29,0.69776,0.8126,-3.67272,0.42,0.097006,0.098818,0.19413,0.63078,116.12322,7.80394e-05,0.58
"INFP","NF","I","N","F","P",32,18,0.62168,0.6191,-7.03594,0.64,0.072892,0.234353764,0.175536,0.53481,125.59018,0.0231193663999999,0.36
"INFP","NF","I","N","F","P",38,12,0.60054,0.67804,-7.17284,0.76,0.107132,0.2448716762,0.168748,0.54118,131.70428,0.0385845824,0.24
"INFP","NF","I","N","F","P",27,23,0.40794,0.422912,-12.01084,0.54,0.047964,0.45402912,0.141016,0.243016,105.27196,0.2914230724,0.46
"INFP","NF","I","N","F","P",35,15,0.55974,0.59022,-8.62268,0.7,0.04974,0.34209543,0.155746,0.50688,121.40192,0.0797524571999999,0.3
"INFP","NF","I","N","F","P",18,9,0.517074074074074,0.489333333333333,-10.2741111111111,0.666666666666667,0.0416407407407407,0.427127403703704,0.151362962962963,0.413259259259259,114.957555555556,0.275215633703704,0.333333333333333
